Geo Point,Geo Shape,SCHULSTAND,SCHULTYP,NAME,VORNAME_K,NACHNAME_K,FUNKTION,WEBSEITE,STRASSE,HAUSNUMMER,PLZ,ORTSCHAFT,TELEFON,FAX,WWW_LINK,EMAIL,PDF_REPORT,GEOMETRIE,lat,long,q_rating,w_rating,v_rating,OBJID,ID_SCHULE,VORNAME_1,NACHNAME_1,FUNKTION_1,TELEFON_1,EMAIL_1,VORNAME_2,NACHNAME_2,FUNKTION_2,TELEFON_2,EMAIL_2,risk,risk_alpha
"47.5678609501,7.57454791487","{""type"": ""Point"", ""coordinates"": [7.574547914873107, 47.56786095013293]}",Volta,Kindergarten,Im Davidsboden 6,,,Kindergarten,,Im Davidsboden,6,4056,Basel,+41 61 321 02 09,,,,,2610228.654000/1268581.456000,47.5678609501,7.57454791487,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5693085588,7.58066839524","{""type"": ""Point"", ""coordinates"": [7.580668395240691, 47.569308558791896]}",Volta,Kindergarten,Mülhauserstrasse 38,,,Kindergarten,,Mülhauserstrasse,38,4056,Basel,+41 61 321 16 80,,,,,2610688.938000/1268743.225000,47.5693085588,7.58066839524,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5622136336,7.56255955566","{""type"": ""Point"", ""coordinates"": [7.562559555661828, 47.56221363362319]}",Wasgenring,Kindergarten,Welschmattstrasse 30,,,Kindergarten,,Welschmattstrasse,30,4055,Basel,+41 61 385 50 60,,,,,2609327.500000/1267952.053000,47.5622136336,7.56255955566,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5324778166,7.59691484142","{""type"": ""Point"", ""coordinates"": [7.596914841416418, 47.53247781660629]}",Bruderholz,Kindergarten,Fritz Hauser Strasse 20,,,Kindergarten,,Fritz Hauser Strasse,20,4059,Basel,+41 61 361 84 42,,,,,2611919.687000/1264650.405000,47.5324778166,7.59691484142,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5576654743,7.58377067845","{""type"": ""Point"", ""coordinates"": [7.583770678449682, 47.55766547428497]}",Peter,Kindergarten,Petersgraben 52,,,Kindergarten,,Petersgraben,52,4051,Basel,+41 61 261 02 53,,http://schulen.edubs.ch/ps/peter/kindergarten,,,2610924.763000/1267449.069000,47.5576654743,7.58377067845,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5812913665,7.59480779471","{""type"": ""Point"", ""coordinates"": [7.594807794713667, 47.581291366451744]}",Kleinhüningen,Kindergarten,Hochbergerstrasse 104,,,Kindergarten,,Hochbergerstrasse,104,4057,Basel,+41 61 631 20 25,,,,,2611750.278000/1270077.595000,47.5812913665,7.59480779471,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5611829868,7.5963667824","{""type"": ""Point"", ""coordinates"": [7.596366782404545, 47.56118298678329]}",Theodor,Primarschule,Wettstein,,,Sekretariat,,Hammerstrasse,27,4058,Basel,+41 61 208 56 31,,http://schulen.edubs.ch/ps/theodor,ps.theodor@bs.ch,Bauprojekt_Schulraum_639.pdf,2611872.035000/1267841.996000,47.5611829868,7.5963667824,0.0,0.4,0,,,,,,,,,,,,,0.4,0.059215396002960774
"47.5498545413,7.61174452865","{""type"": ""Point"", ""coordinates"": [7.611744528649153, 47.54985454129362]}",Gellert,Kindergarten,Rennweg 89,,,Kindergarten,,Rennweg,89,4052,Basel,+41 61 311 77 70,,,,,2613032.140000/1266584.832000,47.5498545413,7.61174452865,0.1,0.3,0,,,,,,,,,,,,,0.415,0.0614359733530718
"47.5783106937,7.58843567581","{""type"": ""Point"", ""coordinates"": [7.588435675805378, 47.57831069371719]}",Insel,Kindergarten,Ackerstrasse 18,,,Kindergarten,,Ackerstrasse,18,4057,Basel,+41 61 631 48 30,,,,,2611271.519000/1269745.246000,47.5783106937,7.58843567581,0.1,0.3,0,,,,,,,,,,,,,0.415,0.0614359733530718
"47.5893181876,7.65767489611","{""type"": ""Point"", ""coordinates"": [7.657674896106522, 47.58931818762862]}",Primarstufe Hinter Gärten,Kindergarten,Steingrubenweg,,,,,Steingrubenweg,37,4125,Riehen,,,,,,,47.5893181876,7.65767489611,0.1,0.3,0,20.0,21.0,,,,+41 79 704 89 25,,,,,,,0.415,0.0614359733530718
"47.5443912783,7.58853443093","{""type"": ""Point"", ""coordinates"": [7.588534430925156, 47.544391278253116]}",Thierstein,Kindergarten,Sempacherstrasse 15,,,Kindergarten,,Sempacherstrasse,15,4053,Basel,+41 61 361 60 61,,,,,2611286.114000/1265973.804000,47.5443912783,7.58853443093,0.0,0.5,0,,,,,,,,,,,,,0.5,0.07401924500370097
"47.5733279577,7.6423098007","{""type"": ""Point"", ""coordinates"": [7.642309800695753, 47.57332795774713]}",Primarstufe Wasserstelzen,Kindergarten,Wasserstelzenweg A,,,,,Wasserstelzenweg,65,4125,Riehen,,,,,,,47.5733279577,7.6423098007,0.0,0.5,0,34.0,38.0,,,,+41 79 704 88 69,,,,,,,0.5,0.07401924500370097
"47.5732036784,7.61144733109","{""type"": ""Point"", ""coordinates"": [7.611447331094895, 47.573203678446184]}",Hirzbrunnen,Primarschule,Altbau Schoren,,,Sekretariat,,Schorenweg,81,4058,Basel,+41 61 681 11 18,+41 61 681 41 60,http://schulen.edubs.ch/ps/schoren,ps.schoren@bs.ch,Bauprojekt_Schulraum_665.pdf,2613004.077000/1269180.942000,47.5732036784,7.61144733109,0.0,0.5,0,,,,,,,,,,,,,0.5,0.07401924500370097
"47.5656504297,7.59721181442","{""type"": ""Point"", ""coordinates"": [7.597211814420366, 47.56565042971569]}",Theodor,Kindergarten,Sperrstrasse 104a,,,Kindergarten,,Sperrstrasse,104a,4057,Basel,+41 61 681 03 97,,,,,2611934.634000/1268338.853000,47.5656504297,7.59721181442,0.0,0.5,0,,,,,,,,,,,,,0.5,0.07401924500370097
"47.5854754515,7.64919019831","{""type"": ""Point"", ""coordinates"": [7.649190198306491, 47.58547545152232]}",Primarstufe Erlensträsschen,Primarschule,Erlensträsschen,,,,,Erlensträsschen,8,4125,Riehen,,,http://www.schule-erlenstraesschen.ch,,,,47.5854754515,7.64919019831,0.1,0.4,0,12.0,3.0,Ruth,Flück,Schulleitung,+41 61 208 60 12,ps.erlen@riehen.ch,,,,,,0.52,0.076980014803849
"47.5539827123,7.61196716341","{""type"": ""Point"", ""coordinates"": [7.61196716341323, 47.55398271228916]}",Gellert,Kindergarten,Froburgstrasse 50,,,Kindergarten,,Froburgstrasse,50,4052,Basel,+41 61 311 02 86,,,,,2613047.890000/1267043.873000,47.5539827123,7.61196716341,0.1,0.4,0,,,,,,,,,,,,,0.52,0.076980014803849
"47.5723410787,7.63717752538","{""type"": ""Point"", ""coordinates"": [7.637177525380642, 47.57234107874716]}",Primarstufe Niederholz,Kindergarten,Langenlängeweg B,,,,,Langenlängeweg,24,4125,Riehen,,,,,,,47.5723410787,7.63717752538,0.1,0.4,0,21.0,39.0,,,,+41 76 453 61 27,,,,,,,0.52,0.076980014803849
"47.5723566655,7.63709802968","{""type"": ""Point"", ""coordinates"": [7.637098029680566, 47.572356665471226]}",Primarstufe Niederholz,Kindergarten,Langenlängeweg A,,,,,Langenlängeweg,24,4125,Riehen,,,,,,,47.5723566655,7.63709802968,0.1,0.4,0,23.0,12.0,,,,+41 79 561 69 91,,,,,,,0.52,0.076980014803849
"47.5830266002,7.59147660964","{""type"": ""Point"", ""coordinates"": [7.591476609635107, 47.583026600171344]}",Kleinhüningen,Kindergarten,Pfarrgasse 11,,,Kindergarten,,Pfarrgasse,11,4057,Basel,+41 61 631 06 95,,,,,2611499.292000/1270270.044000,47.5830266002,7.59147660964,0.1,0.4,0,,,,,,,,,,,,,0.52,0.076980014803849
"47.5887239748,7.65782435094","{""type"": ""Point"", ""coordinates"": [7.657824350936497, 47.588723974845614]}",Primarstufe Hinter Gärten,Primarschule,Hinter Gärten,,,,,Steingrubenweg,30,4125,Riehen,,,http://www.schule-hintergaerten.ch,,,,47.5887239748,7.65782435094,0.1,0.4,0,15.0,4.0,Aaron,Messmer,Schulleitung,+41 61 208 60 60,ps.hintergaerten@riehen.ch,Martina,Casañs Lutzu,Schulleitung,+41 61 208 60 60,ps.hintergaerten@riehen.ch,0.52,0.076980014803849
"47.5886255836,7.65594453919","{""type"": ""Point"", ""coordinates"": [7.65594453918576, 47.588625583591536]}",Primarstufe Hinter Gärten,Kindergarten,Hinter Gärten A,,,,,Hinter Gärten,13,4125,Riehen,,,,,,,47.5886255836,7.65594453919,0.2,0.3,0,17.0,11.0,,,,+41 79 704 89 74,,,,,,,0.53,0.07846039970392303
"47.5488122026,7.56071253948","{""type"": ""Point"", ""coordinates"": [7.560712539480726, 47.54881220264787]}",Neubad,Kindergarten,General Guisan Strasse 180,,,Kindergarten,,General Guisan Strasse,180,4054,Basel,+41 61 301 77 37,,,,,2609190.797000/1266461.751000,47.5488122026,7.56071253948,0.2,0.3,0,,,,,,,,,,,,,0.53,0.07846039970392303
"47.5474065886,7.613389973","{""type"": ""Point"", ""coordinates"": [7.613389972997057, 47.54740658859264]}",Gellert,Kindergarten,Karl Jaspers-Allee 39,,,Kindergarten,,Karl Jaspers-Allee,39,4052,Basel,+41 61 312 88 31,,,,,2613156.607000/1266312.922000,47.5474065886,7.613389973,0.3,0.2,0,,,,,,,,,,,,,0.53,0.07846039970392303
"47.564300557,7.61261722807","{""type"": ""Point"", ""coordinates"": [7.612617228068581, 47.56430055698659]}",Hirzbrunnen,Kindergarten,Eugen Wullschleger-Str. 32,,,Kindergarten,,Eugen Wullschleger-Str.,32,4058,Basel,+41 61 681 98 15,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2613094.289000/1268191.207000,47.564300557,7.61261722807,0.3,0.2,0,,,,,,,,,,,,,0.53,0.07846039970392303
"47.5719472484,7.66656577324","{""type"": ""Point"", ""coordinates"": [7.666565773235209, 47.57194724838981]}",Primarstufe Bettingen,Kindergarten,Bettingen A und B,,,,,Hauptstrasse,107,4126,Bettingen,,,,,,,47.5719472484,7.66656577324,0.0,0.6,0,3.0,1.0,,,,+41 79 704 67 44,,,,,+41 79 704 67 66,,0.6,0.08882309400444115
"47.5634676621,7.60882801379","{""type"": ""Point"", ""coordinates"": [7.608828013790848, 47.56346766211806]}",Vogelsang,Primarschule,Vogelsang,,,Sekretariat,,Schwarzwaldallee,107,4058,Basel,+41 61 208 54 60,+41 61 208 54 70,http://schulen.edubs.ch/ps/vogelsang,ps.vogelsang@bs.ch,Bauprojekt_Schulraum_651.pdf,2612809.327000/1268097.976000,47.5634676621,7.60882801379,0.0,0.6,0,,,,,,,,,,,,,0.6,0.08882309400444115
"47.5497380457,7.60307434307","{""type"": ""Point"", ""coordinates"": [7.603074343072116, 47.54973804569623]}",Sevogel,Primarschule,Sevogel,,,Sekretariat,,Sevogelstrasse,61,4052,Basel,+41 61 378 70 70,+41 61 378 70 78,http://schulen.edubs.ch/ps/sevogel,ps.sevogel@bs.ch,Bauprojekt_Schulraum_625.pdf,2612379.504000/1266570.482000,47.5497380457,7.60307434307,0.0,0.6,0,,,,,,,,,,,,,0.6,0.08882309400444115
"47.5698930626,7.58177602038","{""type"": ""Point"", ""coordinates"": [7.581776020377755, 47.56989306260534]}",Volta,Primarschule,Volta,,,Sekretariat,,Wasserstrasse,40,4056,Basel,+41 61 386 89 00,+41 61 386 89 05,http://schulen.edubs.ch/ps/volta,ps.volta@bs.ch,Bauprojekt_Schulraum_644.pdf,2610772.168000/1268808.366000,47.5698930626,7.58177602038,0.0,0.6000000000000001,0,,,,,,,,,,,,,0.6000000000000001,0.08882309400444117
"47.5536502323,7.5873224669","{""type"": ""Point"", ""coordinates"": [7.587322466903052, 47.55365023226028]}",Holbein,Sekundarschule,Holbein,,,Sekretariat,,Kanonengasse,9,4051,Basel,+41 61 267 55 35,+41 61 267 55 34,http://www.sek-holbein.ch,sek.holbein@bs.ch,Bauprojekt_Schulraum_629.pdf,2611192.932000/1267003.118000,47.5536502323,7.5873224669,0.0,0.6000000000000001,0,,,,,,,,,,,,,0.6000000000000001,0.08882309400444117
"47.5659303252,7.58095137145","{""type"": ""Point"", ""coordinates"": [7.580951371446544, 47.565930325176105]}",Vogesen,Sekundarschule,Sek Vogesen,,,Sekretariat,,St. Johanns-Ring,17,4056,Basel,+41 61 385 95 50,+41 61 385 95 55,http://www.sek-vogesen.ch,sek.vogesen@bs.ch,Bauprojekt_Schulraum_643.pdf,2610710.909000/1268367.641000,47.5659303252,7.58095137145,0.1,0.5,0,,,,,,,,,,,,,0.625,0.0925240562546262
"47.527587338,7.59059994547","{""type"": ""Point"", ""coordinates"": [7.590599945473524, 47.527587338005915]}",Bruderholz,Kindergarten,Biascastrasse 22,,,Kindergarten,,Biascastrasse,22,4059,Basel,,,,,,2611445.214000/1264105.710000,47.527587338,7.59059994547,0.1,0.5,0,,,,,,,,,,,,,0.625,0.0925240562546262
"47.572101118,7.63498753211","{""type"": ""Point"", ""coordinates"": [7.634987532114313, 47.5721011179837]}",Primarstufe Niederholz,Kindergarten,Hebelmätteli,,,,,Niederholzstrasse,89,4125,Riehen,,,,,,,47.572101118,7.63498753211,0.2,0.4,0,25.0,28.0,,,,+41 79 704 88 72,,,,,,,0.6400000000000001,0.09474463360473726
"47.5729533091,7.6397849211","{""type"": ""Point"", ""coordinates"": [7.639784921104432, 47.57295330906618]}",Primarstufe Wasserstelzen,Primarschule,Wasserstelzen,,,,,Wasserstelzenweg,11 - 15,4125,Riehen,,,http://schulen.edubs.ch/ps/wasserstelzen,,,,47.5729533091,7.6397849211,0.2,0.4,0,31.0,7.0,Monika,Schröter,Schulleitung,+41 61 208 55 55,ps.wasserstelzen@riehen.ch,Nicole,Müller,Schulleitung,+41 61 208 55 55,ps.wasserstelzen@riehen.ch,0.6400000000000001,0.09474463360473726
"47.5683632288,7.57541075462","{""type"": ""Point"", ""coordinates"": [7.575410754623949, 47.568363228819315]}",Volta,Kindergarten,Vogesenstrasse 105,,,Kindergarten,,Vogesenstrasse,105,4056,Basel,+41 61 322 11 21,,,,,2610293.487000/1268637.416000,47.5683632288,7.57541075462,0.3,0.3,0,,,,,,,,,,,,,0.645,0.09548482605477425
"47.5684923897,7.6103502147","{""type"": ""Point"", ""coordinates"": [7.610350214700132, 47.56849238971936]}",Schoren,Kindergarten,Laufenburgerstrasse 5,,,Kindergarten,,Laufenburgerstrasse,5,4058,Basel,+41 61 681 38 33,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2612922.667000/1268656.918000,47.5684923897,7.6103502147,0.3,0.3,0,,,,,,,,,,,,,0.645,0.09548482605477425
"47.5626968732,7.57072738706","{""type"": ""Point"", ""coordinates"": [7.570727387059693, 47.56269687316258]}",Isaak Iselin,Primarschule,Isaak Iselin,,,Sekretariat,,Strassburgerallee,65,4055,Basel,+14 61 385 94 60,+14 61 385 94 65,http://schulen.edubs.ch/ps/isaakiselin,ps.isaakiselin@bs.ch,Bauprojekt_Schulraum_613.pdf,2609942.115000/1268006.780000,47.5626968732,7.57072738706,0.0,0.7,0,,,,,,,,,,,,,0.7,0.10362694300518134
"47.5527579284,7.61793432467","{""type"": ""Point"", ""coordinates"": [7.617934324667344, 47.55275792840632]}",Gellert,Kindergarten,Nasenweg 13,,,Kindergarten,,Nasenweg,13,4052,Basel,+41 61 312 27 28,,,,,2613497.353000/1266908.696000,47.5527579284,7.61793432467,0.0,0.7,0,,,,,,,,,,,,,0.7,0.10362694300518134
"47.5598598852,7.5862241655","{""type"": ""Point"", ""coordinates"": [7.586224165502368, 47.55985988521641]}",Peter,Kindergarten,Petersgasse 17,,,Kindergarten,,Petersgasse,17,4051,Basel,+41 61 261 13 78,,http://schulen.edubs.ch/ps/peter/kindergarten,,,2611108.970000/1267693.405000,47.5598598852,7.5862241655,0.0,0.7000000000000001,0,,,,,,,,,,,,,0.7000000000000001,0.10362694300518135
"47.5677828288,7.57467316244","{""type"": ""Point"", ""coordinates"": [7.574673162443972, 47.5677828288138]}",Volta,Kindergarten,Im Davidsboden 4,,,Kindergarten,,Im Davidsboden,4,4056,Basel,+41 61 321 10 51,,,,,2610238.094000/1268572.786000,47.5677828288,7.57467316244,0.1,0.6,0,,,,,,,,,,,,,0.73,0.1080680977054034
"47.5935565423,7.65538593816","{""type"": ""Point"", ""coordinates"": [7.655385938160722, 47.59355654233246]}",Primarstufe Hinter Gärten,Kindergarten,Grienbodenweg,,,,,Grienbodenweg,10,4125,Riehen,,,,,,,47.5935565423,7.65538593816,0.1,0.6000000000000001,0,19.0,10.0,,,,+41 79 704 89 79,,,,,,,0.7300000000000001,0.10806809770540342
"47.5544125396,7.5666187189","{""type"": ""Point"", ""coordinates"": [7.566618718901552, 47.55441253956806]}",Gotthelf,Kindergarten,Gottfried Keller Strasse 8,,,Kindergarten,,Gottfried Keller Strasse,8,4054,Basel,+41 61 208 52 40,,,,,2609634.395000/1267085.147000,47.5544125396,7.5666187189,0.1,0.6000000000000001,0,,,,,,,,,,,,,0.7300000000000001,0.10806809770540342
"47.565744601,7.57916741525","{""type"": ""Point"", ""coordinates"": [7.579167415252443, 47.565744601045026]}",St. Johann,Kindergarten,St. Johannsring 22,,,Kindergarten,,St. Johannsring,22,4056,Basel,+41 61 321 16 14,,,,,2610576.696000/1268346.750000,47.565744601,7.57916741525,0.2,0.5,0,,,,,,,,,,,,,0.75,0.11102886750555145
"47.5704979025,7.60880621089","{""type"": ""Point"", ""coordinates"": [7.608806210890156, 47.57049790249711]}",Schoren,Kindergarten,In den Schorenmatten 28,,,Kindergarten,,In den Schorenmatten,28,4058,Basel,+41 61 681 16 20,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2612805.999000/1268879.657000,47.5704979025,7.60880621089,0.2,0.5,0,,,,,,,,,,,,,0.75,0.11102886750555145
"47.5467546322,7.57366239791","{""type"": ""Point"", ""coordinates"": [7.573662397912356, 47.54675463220981]}",Neubad,Kindergarten,Bernerring 19,,,Kindergarten,,Bernerring,19,4054,Basel,+41 61 281 34 22,,,,,2610166.031000/1266234.560000,47.5467546322,7.57366239791,0.4,0.3,0,,,,,,,,,,,,,0.76,0.11250925240562547
"47.5695156769,7.59103116234","{""type"": ""Point"", ""coordinates"": [7.591031162337787, 47.56951567685298]}",Dreirosen,Kindergarten,Amerbachstrasse 7,,,Kindergarten,,Amerbachstrasse,7,4057,Basel,+41 61 692 92 18,,,,,2611468.683000/1268767.709000,47.5695156769,7.59103116234,0.0,0.7999999999999999,0,,,,,,,,,,,,,0.7999999999999999,0.11843079200592153
"47.561934195,7.58007210646","{""type"": ""Point"", ""coordinates"": [7.58007210646179, 47.561934194975045]}",St. Johann,Kindergarten,Maiengasse 7/11,,,Kindergarten,,Maiengasse,7/11,4056,Basel,,,,,,2610645.537000/1267923.197000,47.561934195,7.58007210646,0.0,0.7999999999999999,0,,,,,,,,,,,,,0.7999999999999999,0.11843079200592153
"47.5794989229,7.6456424462","{""type"": ""Point"", ""coordinates"": [7.645642446204661, 47.57949892287323]}",Primarstufe Burgstrasse,Primarschule,Burgstrasse,,,,,Burgstrasse,51,4125,Riehen,,,http://www.schule-burgstrasse.ch,,,,47.5794989229,7.6456424462,0.0,0.8,0,10.0,5.0,Regina,Hohl,Schulleitung,+41 61 208 57 80,ps.burg@riehen.ch,Florian,von Bidder,Schulleitung,+41 61 208 57 80,ps.burg@riehen.ch,0.8,0.11843079200592155
"47.5806065138,7.5904941127","{""type"": ""Point"", ""coordinates"": [7.590494112696829, 47.58060651380917]}",Insel,Kindergarten,Giessliweg 63,,,Kindergarten,,Giessliweg,63,4057,Basel,+41 61 631 20 75,,,,,2611425.897000/1270000.813000,47.5806065138,7.5904941127,0.0,0.8,0,,,,,,,,,,,,,0.8,0.11843079200592155
"47.5437932386,7.58659099379","{""type"": ""Point"", ""coordinates"": [7.586590993785697, 47.543793238582296]}",Margarethen,Kindergarten,Gempenstrasse 43,,,Kindergarten,,Gempenstrasse,43,4053,Basel,+41 61 361 47 39,,,,,2611139.928000/1265907.033000,47.5437932386,7.58659099379,0.0,0.8,0,,,,,,,,,,,,,0.8,0.11843079200592155
"47.5629576952,7.59114642546","{""type"": ""Point"", ""coordinates"": [7.591146425456586, 47.562957695208375]}",Dreirosen,Kindergarten,Kasernenstrasse 25,,,Kindergarten,,Kasernenstrasse,25,4057,Basel,+41 61 681 71 72,,,,,2611478.766000/1268038.551000,47.5629576952,7.59114642546,0.1,0.7,0,,,,,,,,,,,,,0.835,0.1236121391561806
"47.578667969,7.64483745885","{""type"": ""Point"", ""coordinates"": [7.644837458852725, 47.5786679689805]}",Primarstufe Burgstrasse,Kindergarten,Paradiesstrasse B,,,,,Paradiesstrasse,47,4125,Riehen,,,,,,,47.578667969,7.64483745885,0.2,0.6,0,5.0,29.0,,,,+41 61 208 57 96,,,,,,,0.8600000000000001,0.12731310140636568
"47.578772877,7.64475800894","{""type"": ""Point"", ""coordinates"": [7.64475800894273, 47.57877287703369]}",Primarstufe Burgstrasse,Kindergarten,Paradiesstrasse A,,,,,Paradiesstrasse,47,4125,Riehen,,,,,,,47.578772877,7.64475800894,0.2,0.6,0,6.0,15.0,,,,+41 61 208 57 95,,,,,,,0.8600000000000001,0.12731310140636568
"47.5459086732,7.62004722046","{""type"": ""Point"", ""coordinates"": [7.62004722045713, 47.54590867317389]}",Gellert,Kindergarten,Lehenmattstrasse 290,,,Kindergarten,,Lehenmattstrasse,290,4052,Basel,+41 61 311 95 81,,,,,2613658.149000/1266147.504000,47.5459086732,7.62004722046,0.2,0.6,0,,,,,,,,,,,,,0.8600000000000001,0.12731310140636568
"47.572372467,7.63549331115","{""type"": ""Point"", ""coordinates"": [7.635493311151839, 47.572372466992285]}",Primarstufe Niederholz,Primarschule,Niederholz,,,,,Langenlängeweg,14,4125,Riehen,,,http://www.schule-niederholz.ch,,,,47.572372467,7.63549331115,0.2,0.6,0,22.0,2.0,Denise,Aeschi,Schulleitung,+41 61 208 61 00,ps.niederholz@riehen.ch,Manuela,Wäspi,Schulleitung,+41 61 208 61 00,ps.niederholz@riehen.ch,0.8600000000000001,0.12731310140636568
"47.5474981658,7.57190191138","{""type"": ""Point"", ""coordinates"": [7.571901911383409, 47.547498165829175]}",Neubad,Kindergarten,Bernerring 49,,,Kindergarten,,Bernerring,49,4054,Basel,+41 61 281 27 43,,,,,2610033.360000/1266317.007000,47.5474981658,7.57190191138,0.3,0.5,0,,,,,,,,,,,,,0.875,0.12953367875647667
"47.5677565463,7.59549861977","{""type"": ""Point"", ""coordinates"": [7.595498619766427, 47.5677565462568]}",Bläsi,Kindergarten,Oetlingerstrasse 170,,,Kindergarten,,Oetlingerstrasse,170,4057,Basel,+41 61 692 04 06,,,,,2611805.243000/1268572.772000,47.5677565463,7.59549861977,0.4,0.4,0,,,,,,,,,,,,,0.8800000000000001,0.1302738712065137
"47.5580678036,7.60212717475","{""type"": ""Point"", ""coordinates"": [7.60212717475357, 47.55806780363926]}",Vogelsang,Kindergarten,Fischerweg 8,,,Kindergarten,,Fischerweg,8,4058,Basel,+41 61 691 05 51,,,,,2612306.284000/1267496.506000,47.5580678036,7.60212717475,0.4,0.4,0,,,,,,,,,,,,,0.8800000000000001,0.1302738712065137
"47.569189245,7.59275257189","{""type"": ""Point"", ""coordinates"": [7.592752571890357, 47.56918924501053]}",Bläsi,Kindergarten,Amerbachstrasse 52,,,Kindergarten,,Amerbachstrasse,52,4057,Basel,+41 61 683 57 27,,,,,2611598.288000/1268731.665000,47.569189245,7.59275257189,0.4,0.4,0,,,,,,,,,,,,,0.8800000000000001,0.1302738712065137
"47.5487675784,7.56040853878","{""type"": ""Point"", ""coordinates"": [7.560408538775627, 47.54876757843546]}",Neubad,Kindergarten,General Guisan Strasse 182,,,Kindergarten,,General Guisan Strasse,182,4054,Basel,+41 61 301 17 55,,,,,2609167.920000/1266456.754000,47.5487675784,7.56040853878,0.4,0.4,0,,,,,,,,,,,,,0.8800000000000001,0.1302738712065137
"47.5429555959,7.59570082316","{""type"": ""Point"", ""coordinates"": [7.595700823162188, 47.542955595869884]}",Thierstein,Kindergarten,Tellstrasse 22,,,Kindergarten,,Tellstrasse,22,4053,Basel,+41 61 361 32 16,,,,,2611825.950000/1265815.223000,47.5429555959,7.59570082316,0.0,0.9,0,,,,,,,,,,,,,0.9,0.13323464100666174
"47.5708661251,7.60988451932","{""type"": ""Point"", ""coordinates"": [7.6098845193173, 47.57086612509516]}",Hirzbrunnen,Primarschule,Neubau Schoren,,,Sekretariat,,Schorenweg,23,4058,Basel,+41 61 681 11 18,+41 61 681 41 60,http://schulen.edubs.ch/ps/schoren,ps.schoren@bs.ch,Bauprojekt_Schulraum_6623.pdf,2612887.050000/1268920.775000,47.5708661251,7.60988451932,0.1,0.8,0,,,,,,,,,,,,,0.94,0.1391561806069578
"47.5544395823,7.58661158016","{""type"": ""Point"", ""coordinates"": [7.586611580158682, 47.554439582307744]}",Leonhard,Sekundarschule,SEK Leonhard,,,Sekretariat,,Leonhardsstrasse,15,4051,Basel,+41 61 267 55 60,+41 61 267 55 62,http://www.sek-leonhard.ch,sek.leonhard@bs.ch,Bauprojekt_Schulraum_631.pdf,2611139.258000/1267090.784000,47.5544395823,7.58661158016,0.1,0.8,0,,,,,,,,,,,,,0.94,0.1391561806069578
"47.564685307,7.57445836927","{""type"": ""Point"", ""coordinates"": [7.574458369268219, 47.564685307011544]}",Isaak Iselin,Kindergarten,Mittlere Strasse 153,,,Kindergarten,,Mittlere Strasse,153,4056,Basel,+41 61 321 58 17,,,,,2610222.523000/1268228.348000,47.564685307,7.57445836927,0.2,0.7,0,,,,,,,,,,,,,0.97,0.14359733530717986
"47.5588255748,7.56820698075","{""type"": ""Point"", ""coordinates"": [7.568206980752652, 47.558825574830315]}",Gotthelf,Kindergarten,Bündnerstrasse 38,,,Kindergarten,,Bündnerstrasse,38,4054,Basel,+41 61 301 14 89,,,,,2609753.139000/1267576.021000,47.5588255748,7.56820698075,0.2,0.7,0,,,,,,,,,,,,,0.97,0.14359733530717986
"47.5710564957,7.59420257111","{""type"": ""Point"", ""coordinates"": [7.594202571112222, 47.57105649574271]}",Dreirosen,Kindergarten,Horburgstrasse 51,,,Kindergarten,,Horburgstrasse,51,4057,Basel,+41 61 681 32 59,,,,,2611706.990000/1268939.497000,47.5710564957,7.59420257111,0.0,0.0,1,,,,,,,,,,,,,1.0,0.14803849000740193
"47.553736567,7.61427492324","{""type"": ""Point"", ""coordinates"": [7.614274923242674, 47.553736566998545]}",Gellert,Kindergarten,Lehenmattstrasse 54,,,Kindergarten,,Lehenmattstrasse,54,4052,Basel,+41 61 311 94 20,,,,,2613221.658000/1267016.889000,47.553736567,7.61427492324,0.4,0.5,0,,,,,,,,,,,,,1.0,0.14803849000740193
"47.547751989,7.60377360891","{""type"": ""Point"", ""coordinates"": [7.60377360891278, 47.547751988998094]}",Sevogel,Kindergarten,Engelgasse 118,,,Kindergarten,,Engelgasse,118,4052,Basel,+41 61 312 79 89,,,,,2612432.605000/1266349.766000,47.547751989,7.60377360891,0.4,0.5,0,,,,,,,,,,,,,1.0,0.14803849000740193
"47.5713925931,7.60270020806","{""type"": ""Point"", ""coordinates"": [7.602700208057652, 47.57139259305267]}",Erlenmatt,Kindergarten,Signalstrasse 29,,,Kindergarten,,Signalstrasse,29,4057,Basel,,,,,,2612346.331000/1268978.163000,47.5713925931,7.60270020806,0.0,0.0,1,,,,,,,,,,,,,1.0,0.14803849000740193
